timestamp,ticker,side,crowd_prob,model_prob,ev,position_usd,hours_to_close,family,strike,spot_price,close_time,tier,resolved_yes,resolved_no,won,pnl_usd,exit_type
2026-04-07T22:14:36.491905,KXBTC-26APR0800-B71450,no,0.8500,0.8744,0.0287,3.66,0.76,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:14:36.492581,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.76,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:11:12.379654,KXBTC-26APR0800-B71550,no,0.9000,0.9094,0.0104,1.05,0.81,KXBTC,71550.0,,2026-04-08T04:00:00Z,2,0,1,1,0.01,early_win
2026-04-07T22:14:44.305658,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.75,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:14:50.424033,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.75,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:14:51.666621,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.75,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:14:53.570662,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.75,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:14:53.571457,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.75,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:01.443857,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.75,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:01.444894,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.75,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:15:07.804554,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.75,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:15:09.090623,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.75,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:15:09.091589,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.75,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:10.821997,KXBTC-26APR0800-B71350,no,0.8500,0.8744,0.0287,3.66,0.75,KXBTC,71350.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T22:15:10.822489,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.75,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:15:19.602761,KXBTC-26APR0800-B71350,no,0.8500,0.8744,0.0287,3.66,0.74,KXBTC,71350.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T22:15:19.603516,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.74,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:15:24.485988,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.74,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:15:24.486732,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.74,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:25.851403,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.74,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:15:25.852686,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.74,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:28.771093,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.74,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:15:28.772314,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.74,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:37.445468,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.74,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:15:37.446202,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.74,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:15:41.719115,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.74,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:15:44.020219,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.74,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:15:46.376548,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.74,KXBTC,71150.0,71334.00,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:54.580219,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:58.915885,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:16:01.369253,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:03.611043,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:15:41.717950,KXBTC-26APR0800-B71450,no,0.8500,0.8744,0.0287,3.66,0.74,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:16:11.792632,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:16.187378,KXBTC-26APR0800-B71450,no,0.8500,0.8744,0.0287,3.66,0.73,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:16:16.188634,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:18.602507,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:20.729794,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.73,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:16:29.088022,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.73,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
