timestamp,ticker,side,crowd_prob,model_prob,ev,position_usd,hours_to_close,family,strike,spot_price,close_time,tier,resolved_yes,resolved_no,won,pnl_usd,exit_type
2026-04-07T21:21:04.433972,KXBTC-26APR0723-B71450,no,0.8500,0.8744,0.0287,3.66,0.65,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:21:04.434971,KXBTC-26APR0723-B71550,no,0.8700,0.8884,0.0211,3.18,0.65,KXBTC,71550.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T21:21:05.339677,KXBTC-26APR0723-B71250,no,0.8800,0.8954,0.0175,2.89,0.65,KXBTC,71250.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T21:21:06.318163,KXBTC-26APR0723-B71450,no,0.8500,0.8744,0.0287,3.66,0.65,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:21:06.319322,KXBTC-26APR0723-B71550,no,0.8700,0.8884,0.0211,3.18,0.65,KXBTC,71550.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T21:21:21.719976,KXBTC-26APR0723-B71550,no,0.8700,0.8884,0.0211,3.18,0.64,KXBTC,71550.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T21:21:21.721995,KXBTC-26APR0723-B71250,no,0.8900,0.9024,0.0139,1.27,0.64,KXBTC,71250.0,,2026-04-08T03:00:00Z,2,0,1,0,-0.03,early_loss
2026-04-07T21:21:22.600073,KXBTC-26APR0723-B71350,no,0.8500,0.8744,0.0287,3.66,0.64,KXBTC,71350.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.11,early_loss
2026-04-07T21:21:23.455305,KXBTC-26APR0723-B71450,no,0.8500,0.8744,0.0287,3.66,0.64,KXBTC,71450.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.15,early_loss
2026-04-07T21:21:23.456450,KXBTC-26APR0723-B71350,no,0.8500,0.8744,0.0287,3.66,0.64,KXBTC,71350.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T21:21:23.626966,KXBTC-26APR0723-B71550,no,0.8700,0.8884,0.0211,3.18,0.64,KXBTC,71550.0,,2026-04-08T03:00:00Z,1,0,1,0,-0.13,early_loss
